"Number of cases, 100 million yen",Flow,,,,,,Amount Outstanding,,, Performing Loans Transferred,,,,,,,, Nonperforming Loans Transferred,,,,,,,,Number of Deals (Flow),,,,Amount (Flow),,,,Amount Outstanding,,,,Number of Transactions,,Amount,
During or End of  Quarter,Number of Deals,,,Amount,,,,,,Total of the Number of Transactions,,,,Total of the Amount,,,,Total of the Number of Transactions,,,,Total of the Amount,,,,Term Loans,,Commitment Lines,,Term Loans,,Commitment Lines,,Term Loans,,Commitment Lines,,To Financial Institutions,To SPCs,To Financial Institutions,To SPCs
,,Term Loans,Commitment Lines,,Term Loans,Commitment Lines,,Term Loans,Commitment Lines,,Sale,Trust Method,Loan Participation,,Sale,Trust Method,Loan Participation,,Sale,Trust Method,Loan Participation,,Sale,Trust Method,Loan Participation,Public / Listed Companies,Private Companies,Public / Listed Companies,Private Companies,Public / Listed Companies,Private Companies,Public / Listed Companies,Private Companies,Public / Listed Companies,Private Companies,Public / Listed Companies,Private Companies,,,,
2019.Ⅱ,339,197,142,"54,490","32,322","22,168","823,213","619,021","204,192",246,215,3,28,"5,475","4,536",37,902,53,52,0,1,106,96,0,10,56,141,43,99,"5,030","27,292","18,140","4,028","307,120","311,901","161,916","42,276",212,0,"4,510",0
2019.Ⅲ,849,494,355,"74,625","38,124","36,501","827,320","615,917","211,403",388,341,16,31,"12,966","11,621",264,"1,081",505,505,0,0,497,497,0,0,143,351,118,237,"15,729","22,394","28,319","8,182","292,513","323,406","168,562","42,841",338,0,"11,581",0
2019.Ⅳ,526,332,194,"58,007","41,204","16,803","845,466","633,929","211,537",301,272,12,17,"10,611","9,436",127,"1,048",228,228,0,0,230,230,0,0,92,240,59,135,"19,552","21,652","13,092","3,711","303,165","330,764","167,546","43,991",266,1,"9,221",146
2020.Ⅰ,"1,250",746,504,"110,613","60,186","50,427","854,855","643,369","211,486",561,492,10,59,"10,422","8,023",333,"2,066",849,849,0,0,988,988,0,0,177,569,139,365,"17,322","42,866","42,205","8,222","305,591","337,777","166,719","44,767",491,0,"7,973",0
2020.Ⅱ,397,198,199,"90,279","45,615","44,664","914,298","665,309","248,989",231,220,1,10,"8,890","7,984",72,834,120,120,0,0,131,131,0,0,86,112,92,107,"27,268","18,347","38,983","5,681","320,219","345,093","200,403","48,586",219,0,"7,979",0
2020.Ⅲ,743,374,369,"78,119","37,684","40,435","922,897","662,725","260,172",228,202,2,24,"8,686","7,470",25,"1,191",548,534,14,0,286,268,18,0,100,274,139,230,"17,116","20,568","33,308","7,128","314,567","348,157","211,052","49,119",200,0,"7,446",0
2020.Ⅳ,578,357,221,"66,347","43,912","22,435","943,854","680,206","263,648",209,189,1,19,"8,621","7,386",85,"1,150",191,178,13,0,169,168,1,0,107,250,77,144,"18,680","25,232","17,767","4,668","326,685","353,525","213,714","49,935",187,0,"7,233",0
2021.Ⅰ,"1,204",692,512,"101,066","60,874","40,192","940,846","683,528","257,318",475,446,9,20,"12,865","11,000",819,"1,046",746,745,0,1,"1,037","1,036",0,1,178,514,148,364,"20,515","40,360","29,391","10,801","322,040","361,489","206,561","50,759",441,0,"10,754",0
2021.Ⅱ,381,207,174,"47,843","24,450","23,393","920,888","678,971","241,917",188,172,5,11,"8,911","7,690",211,"1,010",146,146,0,0,299,299,0,0,59,148,63,111,"4,480","19,971","19,128","4,265","318,895","360,077","191,705","50,214",171,0,"7,671",0
2021.Ⅲ,814,470,344,"94,903","55,801","39,102","936,745","689,789","246,956",335,313,8,14,"10,624","9,394",314,916,644,642,0,2,794,758,0,36,118,352,118,226,"16,715","39,088","31,790","7,313","320,618","369,170","193,771","53,187",309,0,"9,180",0
